地震時間,規模,深度
2000,2.3,6.72
2000,1.51,14.24
2000,1.72,4.41
2000,2.03,11.63
2000,2.17,3.66
2000,2.42,6.48
2000,2.22,23.48
2000,1.96,26.41
2000,3.46,52.1
2000,1.77,12.55
2000,2.37,53.98
2000,1.69,4.92
2000,1.56,14.96
2000,4.26,37.41
2000,1.55,10.25
2000,2.86,18.99
2000,1.91,10.89
2000,2.1,25.97
2000,1.87,10.78
2000,2.8,19.26
2000,2.66,18.44
2000,2.26,8.7
2000,2.78,10.84
2000,2.78,17.5
2000,3.26,115.51
2000,1.88,6.8
2000,1.68,7.16
2000,2.82,11
2000,2.43,13.47
2000,2.65,8.98
2000,2.2,18.79
2000,3.71,11.01
2000,3.1,15.95
2000,2.68,12.5
2000,2.85,39.31
2000,2.83,5.12
2000,2.38,11.58
2000,2.13,0.32
2000,1.87,7.24
2000,1.52,5.57
2000,1.29,5.25
2000,3.22,43.22
2000,2.94,67.16
2000,1.41,6.15
2000,2.36,14.03
2000,1.64,18.67
2000,2.17,10.45
2000,2.81,28.31
2000,2.92,30.02
2000,2.4,4.49
2000,1.36,17.32
2000,1.91,8.78
2000,1.87,20.44
2000,2.24,17.63
2000,2.72,34.72
2000,1.78,7.43
2000,3.08,10
2000,1.98,11.33
2000,1.43,7.85
2000,2.23,51.38
2000,2.17,21.74
2000,2.19,11.91
2000,3.23,11.51
2000,1.82,5.5
2000,1.79,26.68
2000,2.61,28.1
2000,2.73,10.82
2000,2.78,8.1
2000,2.25,11.49
2000,2.59,18.08
2000,2.08,6.05
2000,1.79,8.48
2000,1.55,13.66
2000,1.92,13.13
2000,2.2,21.21
2000,2.03,42.23
2000,2.01,13.65
2000,2.09,11.85
2000,1.85,25.19
2000,2.26,23.24
2000,0.88,10.5
2000,3.91,3.62
2000,2.66,0.87
2000,2.61,5.89
2000,2.91,25.1
2000,3.37,124.7
2000,2.18,19.22
2000,2.11,14.83
2000,1.97,20.19
2000,2.57,48.99
2000,1.75,25.27
2000,1.55,12.39
2000,1.79,2.96
2000,1.66,6.77
2000,2.67,22.53
2000,2.99,15.51
2000,2.04,14.82
2000,1.65,20.29
2000,2.04,8.28
2000,2.91,10.97
2000,2.43,8.46
2000,2.24,7.6
2000,2.95,92.99
2000,1.99,15.79
2000,2.49,62.49
2000,1.6,8.14
2000,2.88,8.79
2000,1.62,15.7
2000,1.82,5.92
2000,2.16,13.48
2000,2.56,12.41
2000,1.27,8.24
2000,2.68,11.83
2000,2.63,11.77
2000,2.36,7.84
2000,2.11,28.08
2000,3,9.19
2000,2.19,5.06
2000,1.3,13.13
2000,3.27,14.01
2000,1.91,14.48
2000,2.46,11.41
2000,2.43,52.06
2000,2.42,49.64
2000,2.27,16.4
2000,2.15,16.06
2000,2.48,21.67
2000,2.17,14.3
2000,1.58,13.56
2000,2.95,8.99
2000,2.12,12.06
2000,4.08,67.84
2000,4.46,14.02
2000,2.13,20.85
2000,2.51,7.67
2000,2.92,15.42
2000,2.83,22.47
2000,2.44,10.08
2000,1.85,15.79
2000,1.72,11.88
2000,2.9,6.79
2000,2.61,4.94
2000,1.25,6.07
2000,1.64,2.72
2000,2.37,13.04
2000,1.44,9.34
2000,2.38,16.02
2000,1.29,6.3
2000,1.34,12
2000,2.06,6.83
2000,1.97,20.8
2000,1.95,5.11
2000,2.5,7.21
2000,2.65,11.63
2000,2.71,14.43
2000,1.95,9.31
2000,2.74,14.67
2000,3.51,19.33
2000,3.12,18.52
2000,2.8,96.48
2000,1.92,6.06
2000,2.37,23.14
2000,2.91,11.18
2000,2.02,10.66
2000,2.06,20.56
2000,1.96,1.63
2000,2.21,6.32
2000,1.54,3.21
2000,2.41,14.72
2000,2.86,6.26
2000,2.14,11.66
2000,3.47,2.02
2000,1.81,15.92
2000,2.08,10.3
2000,3.14,2.55
2000,2.08,4.07
2000,2.33,18.16
2000,1.94,27.57
2000,3.36,21.98
2000,1.93,16.13
2000,1.98,20.71
2000,1.82,23.26
2000,1.7,10.8
2000,1.68,17.35
2000,2.67,79.48
2000,2.56,12.77
2000,1.83,21.61
2000,2.58,9.39
2000,1.6,12.81
2000,2.1,4.88
2000,2.35,12.72
2000,4.11,22.42
2000,1.99,6.95
2000,2.22,35.79
2000,1.4,16.7
2000,2.09,28.98
2000,2.05,10.83
2000,2.06,17.04
2000,1.57,8.61
2000,3.22,14.54
2000,4.35,9.62
2000,2.2,4.05
2000,2.03,6.25
2000,2.03,6.72
2000,2.37,15.44
2000,1.73,14.32
2000,2.85,7.34
2000,3.05,42.74
2000,2.58,8.18
2000,2.38,17.66
2000,1.97,13.88
2000,1.63,5.84
2000,1.56,16.93
2000,2.12,14.72
2000,1.8,18.51
2000,2.87,14.46
2000,3.71,13.64
2000,1.94,8.35
2000,2.18,11.92
2000,1.87,19.41
2000,1.87,4.35
2000,1.74,19.82
2000,2.72,21.21
2000,1.93,28.14
2000,2.23,11.37
2000,1.39,6.55
2000,1.65,7.26
2000,2.14,11.12
2000,3.15,70.34
2000,2.1,5.3
2000,1.7,14.77
2000,2.25,53.89
2000,2.41,8.6
2000,2.65,10.86
2000,2.16,15.78
2000,2.89,22.45
2000,1.52,7.49
2000,2.81,8.84
2000,2.24,2.38
2000,2.97,12.97
2000,2.1,12.19
2000,2.32,18.97
2000,3.17,14.14
2000,1.97,16.08
2000,3.24,11.75
2000,1.25,12.57
2000,2.17,0.85
2000,2.8,15.14
2000,2.82,16.71
2000,2.47,8
2000,3.04,30.71
2000,2.57,5.58
2000,2.29,7.69
2000,2.93,28.8
2000,3.26,11.8
2000,2.43,20.07
2000,3.03,5.09
2000,2.49,21.12
2000,3.11,13.66
2000,2.91,21.91
2000,2.11,1.63
2000,3,41.33
2000,3.69,5.45
2000,3.47,1.42
2000,2.52,19.78
2000,3.02,22.2
2000,3.13,12.43
2000,1.67,11.66
2000,4.27,7.5
2000,3.22,23.02
2000,2.98,46.86
2000,3.12,17.59
2000,2.77,13.65
2000,1.35,13.65
2000,3.08,10.07
2000,5.29,19.43
2000,2.97,10.26
2000,2.03,27.24
2000,2.14,22.33
2000,1.45,6.43
2000,2.72,8.74
2000,1.85,15.36
2000,2.86,12.37
2000,1.87,25.67
2000,1.98,26.83
2000,2.2,28.95
2000,1.34,13.58
2000,3.05,15.76
2000,1.58,7.73
2000,1.84,17.2
2000,2.33,19.33
2000,3.33,19.11
2000,3.11,16.34
2000,2.21,19.93
2000,1.47,12.29
2000,1.47,17.21
2000,2.27,22.79
2000,2.62,17.95
2000,1.63,14.95
2000,2.39,19.05
2000,1.97,11.84
2000,2.72,21.5
2000,3.23,17.88
2000,1.59,14.93
2000,2.11,14.23
2000,2.2,10.06
2000,3.4,71.5
2000,2.13,9.37
2000,1.61,6
2000,2.29,8.79
2000,2.28,5.87
2000,2.79,17.82
2000,2.27,8.12
2000,2.39,15.84
2000,2.7,21.89
2000,1.81,10.49
2000,2.4,20.12
2000,3.08,15.97
2000,2.03,6.07
2000,2.46,18.82
2000,1.9,12.12
2000,2.57,2.88
2000,2.62,88.32
2000,2.1,11.76
2000,2.58,40.85
2000,2.63,18.52
2000,2.33,24.24
2000,2.71,18.44
2000,1.66,11.99
2000,2.67,14.87
2000,2.05,7.39
2000,2.85,18.44
2000,2.22,19.74
2000,1.9,10.82
2000,2.32,16.44
2000,2.17,5.51
2000,2.04,9.23
2000,2.01,8.72
2000,2.03,13.51
2000,2,9.59
2000,2.56,61.17
2000,2.11,5.23
2000,1.24,10.09
2000,2.62,15.05
2000,2.3,5.57
2000,1.33,5.02
2000,0.79,3.63
2000,1.92,11.44
2000,2.24,23.96
2000,2.08,30.98
2000,1.86,7.71
2000,2.3,19.4
2000,1.64,12.85
2000,2.19,11.86
2000,2.06,28.41
2000,2.77,39.95
2000,2.58,22.05
2000,2.54,18.18
2000,2.63,65.45
2000,3.64,9.23
2000,1.67,5.85
2000,2.52,28.3
2000,2.64,12.33
2000,2.34,8.18
2000,2.08,14.79
2000,2.68,8.88
2000,2.35,18.3
2000,2.11,17.83
2000,2.11,6.46
2000,2.41,8.27
2000,2.63,21.35
2000,3.89,255.01
2000,2.6,12.31
2000,2.42,19.02
2000,3.6,18.07
2000,2.97,10.1
2000,2.3,19.91
2000,1.61,8.65
2000,2.15,11.36
2000,2.65,14.43
2000,2.25,20.87
2000,3.07,17.27
2000,2.78,16.9
2000,2.3,11.66
2000,2.29,4.49
2000,1.91,6.98
2000,2.34,19.14
2000,2.72,17.88
2000,3.7,18.15
2000,2.51,15.49
2000,2.51,48.3
2000,3.54,18.75
2000,2.62,15.23
2000,2.72,18.07
2000,2.74,20.16
2000,2.04,18.85
2000,2.06,8.98
2000,2.31,18.31
2000,2.36,15.49
2000,3.18,16.28
2000,2.51,19.63
2000,2.61,14.92
2000,3.55,18.43
2000,2.55,11.15
2000,2.53,20.23
2000,2.31,20.24
2000,2.79,15.09
2000,2.58,13.3
2000,2.95,6.23
2000,3.51,19.34
2000,2.21,19.71
2000,2.21,10.58
2000,2.35,17.5
2000,2.45,19.82
2000,1.41,5
2000,2.68,16.07
2000,2.34,18.03
2000,2.55,21.69
2000,2.31,20.95
2000,2.27,19.54
2000,2.14,22.39
2000,2.14,16.4
2000,2.93,18.88
2000,2.79,18.86
2000,2.63,19.46
2000,2.46,19.03
2000,3.22,18.22
2000,3.24,17.97
2000,3.19,18.69
2000,2.37,19.53
